file,entity_type,en_field,ua_field,state,ua_status,ua_drafted_by,draft_revision,en_chars,ua_chars,mtime_days,defer,note
knowledge_base/hosted/content/biomarkers/bio_thyroid_nodule_us_tirads.yaml,biomarkers,notes,notes_ua,missing,,,,382,0,49,,
knowledge_base/hosted/content/biomarkers/bio_tmb_high.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,40,62,56,,
knowledge_base/hosted/content/biomarkers/bio_tmprss2_erg_fusion.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,1281,1336,56,,
knowledge_base/hosted/content/biomarkers/bio_tp53_chek2_composite.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_surveillance_2026_05_18,1,1240,406,49,,
knowledge_base/hosted/content/biomarkers/bio_tp53_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v04_germline_batch2,1,301,90,50,,
knowledge_base/hosted/content/biomarkers/bio_tp53_ihc.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,513,310,56,,
knowledge_base/hosted/content/biomarkers/bio_tp53_mutation.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,1625,1834,56,,
knowledge_base/hosted/content/biomarkers/bio_tp53_r175h.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,1025,1030,56,,
knowledge_base/hosted/content/biomarkers/bio_tp53_r248q.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,871,862,56,,
knowledge_base/hosted/content/biomarkers/bio_tp53_r273h.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,950,940,56,,
knowledge_base/hosted/content/biomarkers/bio_tp53_r282w.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,918,965,56,,
knowledge_base/hosted/content/biomarkers/bio_trop2_expression.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,558,481,56,,
knowledge_base/hosted/content/biomarkers/bio_tsc1.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,1172,929,56,,
knowledge_base/hosted/content/biomarkers/bio_tsc1_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v05_germline_batch3,1,363,160,49,,
knowledge_base/hosted/content/biomarkers/bio_tsc2_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v05_germline_batch3,1,399,130,49,,
